model,term,coef,se,z,p
RT_main,Intercept,9.573226639942634,0.3057098367441693,31.31474846180337,2.9392712065167455e-215
RT_main,"C(adapt, Treatment(reference='non_adapted'))[T.fully_adapted]",-2.753827905796455,0.28478928011460597,-9.669703524965017,4.0555122365923347e-22
RT_main,"C(adapt, Treatment(reference='non_adapted'))[T.semi_adapted]",-1.5954416901948572,0.2859564342926802,-5.579317332520315,2.4146437157542735e-08
RT_main,C(nodes)[T.6],-2.321539398405288,0.23159716221332344,-10.024040779337897,1.1951442430671363e-23
RT_main,C(qlevel)[T.2],4.310873034580422,0.2320605024115648,18.57650478983703,4.9789597370468456e-77
RT_interaction,Intercept,9.67819017744131,0.3246513763095158,29.811024636514485,2.811467159034822e-195
RT_interaction,"C(adapt, Treatment(reference='non_adapted'))[T.fully_adapted]",-1.9998282947607045,0.37292300881298834,-5.362576852327095,8.20430437505369e-08
RT_interaction,"C(adapt, Treatment(reference='non_adapted'))[T.semi_adapted]",-2.6172919090056546,0.3729226213624357,-7.0183243361414736,2.245448285937137e-12
RT_interaction,C(qlevel)[T.2],4.109203196731101,0.3992425307192306,10.292498620646505,7.617361431794365e-25
RT_interaction,C(nodes)[T.6],-2.352892992192838,0.22309362838966432,-10.546661548232029,5.263415801130483e-26
RT_interaction,"C(adapt, Treatment(reference='non_adapted'))[T.fully_adapted]:C(qlevel)[T.2]",-1.538133074077201,0.5505586158240691,-2.7937680564220093,0.005209783095041138
RT_interaction,"C(adapt, Treatment(reference='non_adapted'))[T.semi_adapted]:C(qlevel)[T.2]",2.1694899646932626,0.5531004600863502,3.922415765762627,8.766554627889801e-05
accuracy_clustered,const,2.767440601863779,0.29500313185958804,9.381054988870394,6.531587108631672e-21
accuracy_clustered,adapt_semi_adapted,0.44006650985351253,0.1845116009439176,2.385034369666929,0.017077525785721425
accuracy_clustered,adapt_fully_adapted,0.5789280053090803,0.24564532609563036,2.3567637720234993,0.018434969943112774
accuracy_clustered,nodes_12,-1.1163014568743759,0.2230734185513604,-5.0041885946054965,5.60978160684091e-07
accuracy_clustered,qlevel_2,-2.0660784074633733,0.23981227648592648,-8.615398835032627,6.969854062083792e-18
accuracy_interaction,const,2.924689148119821,0.2789425017595199,10.484917607289674,1.0133394656072121e-25
accuracy_interaction,adapt_semi_adapted,0.24949057122993734,0.462245608212326,0.5397359472917639,0.5893791456668517
accuracy_interaction,adapt_fully_adapted,0.2494905712299373,0.42391924162798994,0.588533255229961,0.5561744191742757
accuracy_interaction,nodes_12,-1.1206590723990075,0.22140106352226138,-5.061669779586799,4.156004080094692e-07
accuracy_interaction,qlevel_2,-2.2812018418552746,0.2818226476898905,-8.094458910787905,5.75194539793815e-16
accuracy_interaction,adapt_semi_adapted_x_q2,0.26253910705468425,0.5338321298793965,0.4918008721468248,0.6228601199283064
accuracy_interaction,adapt_fully_adapted_x_q2,0.44470795081164616,0.46492400436775827,0.9565175096011582,0.3388108424552688
