participant,question_id,graph_nodes,question_level,has_answer_key_fully_adapted,has_answer_key_non_adapted,is_correct_fully_adapted,is_correct_non_adapted,responded_in_time_fully_adapted,responded_in_time_non_adapted,rt_fully_adapted,rt_non_adapted,pair_filter,scope
sphynx_11,How many nodes have TLP:GREEN?,6,1,True,True,True,True,True,True,10.537678900000174,5.96907989999454,all_graphs,sphynx_11
sphynx_11,How many nodes have TLP:GREEN?,12,1,True,True,True,True,True,True,4.157422800002678,10.165066200002912,all_graphs,sphynx_11
sphynx_11,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,12,2,True,True,False,False,True,False,10.345577099993534,,graph_12,sphynx_11
sphynx_11,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,12,2,True,True,False,False,True,False,12.900928200004046,,graph_12,sphynx_11
sphynx_11,Count the number of MALWARE nodes with high connection counts (node size 7-10),12,2,True,True,True,True,True,True,5.991343800000095,12.431612300002598,graph_12,sphynx_11
sphynx_11,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,12,2,True,True,False,False,False,True,,15.87433140000212,graph_12,sphynx_11
sphynx_11,Count the number of nodes with high connection counts (node size 7-10),12,1,True,True,True,True,True,True,11.17080170000554,7.993760900004418,graph_12,sphynx_11
sphynx_11,How many CYBER OBSERVABLE nodes are in the graph?,12,1,True,True,False,True,True,True,13.53718939999817,12.340248300002713,graph_12,sphynx_11
sphynx_11,How many low confidence (confidence 1-3) edges exist in the graph?,12,1,True,True,True,False,True,True,5.208635700000741,12.26616649999778,graph_12,sphynx_11
sphynx_11,How many nodes have TLP:GREEN?,12,1,True,True,True,True,True,True,4.157422800002678,10.165066200002912,graph_12,sphynx_11
sphynx_12,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,6,2,True,True,True,True,True,True,7.673819499992533,9.337264599991613,all_graphs,sphynx_12
