participant,adaptation,graph_nodes,question_level,n_trials,n_responded,response_rate,rt_mean_observed,rt_median_observed,rt_mean_analysis,rt_median_analysis
sphynx_10,fully_adapted,6,1,4,4,1.0,7.357433700000094,5.326505650000058,7.357433700000094,5.326505650000058
sphynx_10,fully_adapted,6,2,4,4,1.0,7.99481017499987,7.225762999999887,7.99481017499987,7.225762999999887
sphynx_10,fully_adapted,12,1,4,4,1.0,8.961932625000031,8.916890299999977,8.961932625000031,8.916890299999977
sphynx_10,fully_adapted,12,2,4,4,1.0,10.214192224999977,10.510670699999878,10.214192224999977,10.510670699999878
sphynx_10,non_adapted,6,1,4,4,1.0,6.183367300000057,6.201714050000305,6.183367300000057,6.201714050000305
sphynx_10,non_adapted,6,2,4,4,1.0,9.977712475000143,9.782814900000055,9.977712475000143,9.782814900000055
sphynx_10,non_adapted,12,1,4,4,1.0,12.07811877499995,10.470373199999926,12.07811877499995,10.470373199999926
sphynx_10,non_adapted,12,2,4,2,0.5,11.055244950000088,11.055244950000088,11.055244950000088,11.055244950000088
sphynx_10,semi_adapted,6,1,4,4,1.0,6.3676011000000585,5.9453567499999735,6.3676011000000585,5.9453567499999735
sphynx_10,semi_adapted,6,2,4,4,1.0,9.503377299999954,9.453546600000095,9.503377299999954,9.453546600000095
sphynx_10,semi_adapted,12,1,4,4,1.0,6.837308150000098,6.87380260000009,6.837308150000098,6.87380260000009
sphynx_10,semi_adapted,12,2,4,4,1.0,14.05405944999989,15.209449949999907,14.05405944999989,15.209449949999907
sphynx_11,fully_adapted,6,1,4,4,1.0,6.6036489249981685,6.001859449996118,6.6036489249981685,6.001859449996118
sphynx_11,fully_adapted,6,2,4,4,1.0,8.49130207499735,8.592227049997746,8.49130207499735,8.592227049997746
sphynx_11,fully_adapted,12,1,4,4,1.0,8.518512400001782,8.18971870000314,8.518512400001782,8.18971870000314
sphynx_11,fully_adapted,12,2,4,3,0.75,9.745949699999224,10.345577099993534,9.745949699999224,10.345577099993534
sphynx_11,non_adapted,6,1,4,4,1.0,7.212884700000231,7.162373899998784,7.212884700000231,7.162373899998784
sphynx_11,non_adapted,6,2,4,4,1.0,11.005728075002594,10.815399500003195,11.005728075002594,10.815399500003195
sphynx_11,non_adapted,12,1,4,4,1.0,10.691310475001956,11.215616350000346,10.691310475001956,11.215616350000346
sphynx_11,non_adapted,12,2,4,2,0.5,14.15297185000236,14.15297185000236,14.15297185000236,14.15297185000236
sphynx_11,semi_adapted,6,1,4,4,1.0,7.343339549999655,6.164674650000961,7.343339549999655,6.164674650000961
sphynx_11,semi_adapted,6,2,4,4,1.0,9.382894324999143,9.620088200001192,9.382894324999143,9.620088200001192
sphynx_11,semi_adapted,12,1,4,4,1.0,6.110084225003391,5.3313942500026315,6.110084225003391,5.3313942500026315
