kind,source,feature,outcome,n,spearman_r,p_raw,mean_non,mean_semi,mean_full,human_non,human_semi,human_full
adaptation_mean_alignment_n3,clipgaze,saliency_mean,rt_median,3,,,0.031541066189489854,0.0320129281212621,0.03280829428913946,10.243326821881013,8.681941559374497,7.368686253122894
adaptation_mean_alignment_n3,clipgaze,saliency_mean,accuracy,3,,,0.031541066189489854,0.0320129281212621,0.03280829428913946,0.7115384615384616,0.7788461538461539,0.7980769230769231
adaptation_mean_alignment_n3,clipgaze,saliency_mean,response_rate,3,,,0.031541066189489854,0.0320129281212621,0.03280829428913946,0.8798076923076923,0.9423076923076923,0.9615384615384616
adaptation_mean_alignment_n3,clipgaze,saliency_mean,isc_gfp_isc,3,,,0.031541066189489854,0.0320129281212621,0.03280829428913946,0.4006554690677107,0.1498955619254896,0.1776212014038031
adaptation_mean_alignment_n3,clipgaze,saliency_mean,isc_occ_isc,3,,,0.031541066189489854,0.0320129281212621,0.03280829428913946,0.1716950813275209,0.1325833248342661,0.1007692209982211
adaptation_mean_alignment_n3,clipgaze,saliency_mean,isc_eda_isc,3,,,0.031541066189489854,0.0320129281212621,0.03280829428913946,0.415691354370984,0.5159419572157351,0.0057511245123627
adaptation_mean_alignment_n3,clipgaze,saliency_mean,isc_ppg_isc,3,,,0.031541066189489854,0.0320129281212621,0.03280829428913946,0.1661802895692382,0.1098140641083113,0.1097468584039811
adaptation_mean_alignment_n3,clipgaze,saliency_mean,isc_gx_isc,3,,,0.031541066189489854,0.0320129281212621,0.03280829428913946,0.2288193872323548,0.1932032078067307,-0.0442555653564789
adaptation_mean_alignment_n3,clipgaze,saliency_mean,isc_gy_isc,3,,,0.031541066189489854,0.0320129281212621,0.03280829428913946,0.7322652808576668,0.5257116528128835,0.5581004216219316
adaptation_mean_alignment_n3,clipgaze,saliency_mean,isc_pupil_isc,3,,,0.031541066189489854,0.0320129281212621,0.03280829428913946,0.5449614079609264,0.5544312299316639,0.6197598900162066
adaptation_mean_alignment_n3,clipgaze,saliency_std,rt_median,3,,,0.11696347214071522,0.11838354493838331,0.12030833247016959,10.243326821881013,8.681941559374497,7.368686253122894
adaptation_mean_alignment_n3,clipgaze,saliency_std,accuracy,3,,,0.11696347214071522,0.11838354493838331,0.12030833247016959,0.7115384615384616,0.7788461538461539,0.7980769230769231
adaptation_mean_alignment_n3,clipgaze,saliency_std,response_rate,3,,,0.11696347214071522,0.11838354493838331,0.12030833247016959,0.8798076923076923,0.9423076923076923,0.9615384615384616
adaptation_mean_alignment_n3,clipgaze,saliency_std,isc_gfp_isc,3,,,0.11696347214071522,0.11838354493838331,0.12030833247016959,0.4006554690677107,0.1498955619254896,0.1776212014038031
adaptation_mean_alignment_n3,clipgaze,saliency_std,isc_occ_isc,3,,,0.11696347214071522,0.11838354493838331,0.12030833247016959,0.1716950813275209,0.1325833248342661,0.1007692209982211
adaptation_mean_alignment_n3,clipgaze,saliency_std,isc_eda_isc,3,,,0.11696347214071522,0.11838354493838331,0.12030833247016959,0.415691354370984,0.5159419572157351,0.0057511245123627
adaptation_mean_alignment_n3,clipgaze,saliency_std,isc_ppg_isc,3,,,0.11696347214071522,0.11838354493838331,0.12030833247016959,0.1661802895692382,0.1098140641083113,0.1097468584039811
adaptation_mean_alignment_n3,clipgaze,saliency_std,isc_gx_isc,3,,,0.11696347214071522,0.11838354493838331,0.12030833247016959,0.2288193872323548,0.1932032078067307,-0.0442555653564789
adaptation_mean_alignment_n3,clipgaze,saliency_std,isc_gy_isc,3,,,0.11696347214071522,0.11838354493838331,0.12030833247016959,0.7322652808576668,0.5257116528128835,0.5581004216219316
adaptation_mean_alignment_n3,clipgaze,saliency_std,isc_pupil_isc,3,,,0.11696347214071522,0.11838354493838331,0.12030833247016959,0.5449614079609264,0.5544312299316639,0.6197598900162066
adaptation_mean_alignment_n3,clipgaze,saliency_entropy,rt_median,3,,,18.220394223280692,18.222487011602148,18.25232918553128,10.243326821881013,8.681941559374497,7.368686253122894
adaptation_mean_alignment_n3,clipgaze,saliency_entropy,accuracy,3,,,18.220394223280692,18.222487011602148,18.25232918553128,0.7115384615384616,0.7788461538461539,0.7980769230769231
adaptation_mean_alignment_n3,clipgaze,saliency_entropy,response_rate,3,,,18.220394223280692,18.222487011602148,18.25232918553128,0.8798076923076923,0.9423076923076923,0.9615384615384616
adaptation_mean_alignment_n3,clipgaze,saliency_entropy,isc_gfp_isc,3,,,18.220394223280692,18.222487011602148,18.25232918553128,0.4006554690677107,0.1498955619254896,0.1776212014038031
adaptation_mean_alignment_n3,clipgaze,saliency_entropy,isc_occ_isc,3,,,18.220394223280692,18.222487011602148,18.25232918553128,0.1716950813275209,0.1325833248342661,0.1007692209982211
adaptation_mean_alignment_n3,clipgaze,saliency_entropy,isc_eda_isc,3,,,18.220394223280692,18.222487011602148,18.25232918553128,0.415691354370984,0.5159419572157351,0.0057511245123627
adaptation_mean_alignment_n3,clipgaze,saliency_entropy,isc_ppg_isc,3,,,18.220394223280692,18.222487011602148,18.25232918553128,0.1661802895692382,0.1098140641083113,0.1097468584039811
adaptation_mean_alignment_n3,clipgaze,saliency_entropy,isc_gx_isc,3,,,18.220394223280692,18.222487011602148,18.25232918553128,0.2288193872323548,0.1932032078067307,-0.0442555653564789
adaptation_mean_alignment_n3,clipgaze,saliency_entropy,isc_gy_isc,3,,,18.220394223280692,18.222487011602148,18.25232918553128,0.7322652808576668,0.5257116528128835,0.5581004216219316
adaptation_mean_alignment_n3,clipgaze,saliency_entropy,isc_pupil_isc,3,,,18.220394223280692,18.222487011602148,18.25232918553128,0.5449614079609264,0.5544312299316639,0.6197598900162066
adaptation_mean_alignment_n3,clipgaze,saliency_center_bias,rt_median,3,,,0.22009398704778982,0.2213085076354394,0.23012499466083547,10.243326821881013,8.681941559374497,7.368686253122894
adaptation_mean_alignment_n3,clipgaze,saliency_center_bias,accuracy,3,,,0.22009398704778982,0.2213085076354394,0.23012499466083547,0.7115384615384616,0.7788461538461539,0.7980769230769231
adaptation_mean_alignment_n3,clipgaze,saliency_center_bias,response_rate,3,,,0.22009398704778982,0.2213085076354394,0.23012499466083547,0.8798076923076923,0.9423076923076923,0.9615384615384616
adaptation_mean_alignment_n3,clipgaze,saliency_center_bias,isc_gfp_isc,3,,,0.22009398704778982,0.2213085076354394,0.23012499466083547,0.4006554690677107,0.1498955619254896,0.1776212014038031
adaptation_mean_alignment_n3,clipgaze,saliency_center_bias,isc_occ_isc,3,,,0.22009398704778982,0.2213085076354394,0.23012499466083547,0.1716950813275209,0.1325833248342661,0.1007692209982211
adaptation_mean_alignment_n3,clipgaze,saliency_center_bias,isc_eda_isc,3,,,0.22009398704778982,0.2213085076354394,0.23012499466083547,0.415691354370984,0.5159419572157351,0.0057511245123627
adaptation_mean_alignment_n3,clipgaze,saliency_center_bias,isc_ppg_isc,3,,,0.22009398704778982,0.2213085076354394,0.23012499466083547,0.1661802895692382,0.1098140641083113,0.1097468584039811
adaptation_mean_alignment_n3,clipgaze,saliency_center_bias,isc_gx_isc,3,,,0.22009398704778982,0.2213085076354394,0.23012499466083547,0.2288193872323548,0.1932032078067307,-0.0442555653564789
adaptation_mean_alignment_n3,clipgaze,saliency_center_bias,isc_gy_isc,3,,,0.22009398704778982,0.2213085076354394,0.23012499466083547,0.7322652808576668,0.5257116528128835,0.5581004216219316
adaptation_mean_alignment_n3,clipgaze,saliency_center_bias,isc_pupil_isc,3,,,0.22009398704778982,0.2213085076354394,0.23012499466083547,0.5449614079609264,0.5544312299316639,0.6197598900162066
