graph_image,number_of_nodes,question_level,adaptation,question,clipgaze__saliency_mean,clipgaze__saliency_std,clipgaze__saliency_entropy,clipgaze__saliency_center_bias,clipgaze__saliency_spread,clipgaze__saliency_skewness,clipgaze__saliency_kurtosis,clipgaze__fixation_count,clipgaze__fixation_duration_mean,clipgaze__fixation_duration_std,clipgaze__scanpath_length,clipgaze__scanpath_complexity,clipgaze__mean_saccade_mag,clipgaze__cognitive_load,clipgaze__info_processing_idx,low_level__digital_ink,low_level__mark_density,low_level__data_utility,low_level__effectiveness,sum__saliency_mean,sum__saliency_std,sum__saliency_entropy,sum__saliency_center_bias,sum__saliency_spread,sum__saliency_skewness,sum__saliency_kurtosis,visalformer__saliency_mean,visalformer__saliency_std,visalformer__saliency_entropy,visalformer__saliency_center_bias,visalformer__saliency_spread,visalformer__saliency_skewness,visalformer__saliency_kurtosis,n_trials,n_participants,response_rate,accuracy,rt_mean,rt_median,et_n_fixations,et_mean_fix_dur,et_sum_fix_dur,et_mean_saccade_mag,n_et_trials
samples/6 node/6_nodes_s00002/no_caption/non_adapted.png,6,1,non_adapted,How many CYBER OBSERVABLE nodes are in the graph?,0.0283872445891445,0.1113516650426072,18.146536880557647,0.2295399005381601,250.0141723234575,5.150529064660734,28.99091885209176,3.0,204.0603535970052,29.585468038913856,133.93721131683998,1.0070660120366135,66.96860565841999,205.5022465117173,0.0005653939375688,761.5736,3.426399999999944,13.0,0.01706992,0.0355745264327453,0.0801501991716743,14.426293708653745,0.3299148608647574,66.40361087023165,5.9875575899790565,46.50792837533434,0.2454900807286433,0.2031510285864973,21.270828995228037,0.5203304493147881,693.3421232600077,1.2062074636556992,0.972104492984318,13,13,1.0,1.0,6.796932092312195,6.689581099999714,36.0,0.3653971794871795,13.86275,535.7549875675675,11
samples/6 node/6_nodes_s00005/no_caption/non_adapted.png,6,1,non_adapted,How many nodes have TLP:GREEN?,0.035645625718653,0.1314423657534976,18.304098855059,0.2627236765720643,282.25824149055376,4.725449540907541,23.596406552270988,3.0,202.34512837727863,31.63902562269334,159.7252074717063,1.0119535410161498,79.86260373585316,204.76386916875452,0.0008123455221558,761.6394,3.3605999999999767,13.0,0.01706844,0.0367908832152201,0.0778109544414917,14.519853762123294,0.3820910219546429,71.35848293295506,5.951940263947475,47.33992161388688,0.4275314023751761,0.2265335763229533,21.51871391638629,0.4611953827664639,662.706990402161,0.325639189642274,-0.8944318739777231,13,13,1.0,1.0,7.483115776928082,6.643763000029139,35.0,0.3678382051282051,12.872420000000002,551.0846315789473,11
samples/6 node/6_nodes_s00008/no_caption/non_adapted.png,6,1,non_adapted,Count the number of nodes with high connection counts (node size 7-10),0.036484289106606,0.1194694036741426,18.567965631395086,0.2583470867488744,263.91652424424234,4.149270740828315,18.822647543662598,5.0,191.20626831054688,25.98531887624649,183.6844500433384,1.3804049598493509,45.9211125108346,263.94208113016464,0.0004619679434254,761.646,3.354000000000042,13.0,0.0170683,0.0469244153044371,0.0893730106166915,14.642712214977127,0.3412004237821632,72.65080354389573,4.852354540784515,31.84554834367121,0.2020624529636716,0.2232578450616674,21.00860474584609,0.392973233982164,560.9195735076108,1.676981683456498,2.1179099731187723,13,13,1.0,0.9230769230769231,7.382996246158511,6.603018699999723,38.0,0.3460151648351648,13.93582,523.2040884075798,12
samples/6 node/6_nodes_s00014/no_caption/non_adapted.png,6,1,non_adapted,How many low confidence (confidence 1-3) edges exist in the graph?,0.0321023344546169,0.1244976533567388,18.118535554872462,0.2015340749401152,213.15127518417884,4.78313778649767,24.054040602121404,5.0,182.38990478515623,30.890500285154825,124.89048995638176,1.0601032287411591,31.222622489095443,193.35212695253676,0.0002334102832334,762.1584,2.8415999999999713,13.0,0.01705682,0.0630756684811169,0.1173084799672772,14.445812845193492,0.3457270344081606,62.94651830869642,3.0473240824820444,11.131817574139278,0.2480963429237827,0.2620179383380039,21.02036368565113,0.5778394863662719,658.6989871329166,1.3107561127277805,0.6125914542345079,13,13,1.0,1.0,6.314414192304307,5.8220101000038085,40.5,0.3317067045454545,12.93261,397.0508081450578,10
samples/6 node/6_nodes_s00017/no_caption/non_adapted.png,6,2,non_adapted,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,0.0278733684209485,0.1129140934807695,18.010503484286083,0.2003712923292006,208.8720384345353,5.052155784403891,27.23633134506154,5.0,193.3013488769531,27.75108849083984,121.21671828306118,1.024033701403021,30.304179570765296,197.947095776663,0.0002054878828933,761.7812,3.2187999999999874,13.0,0.01706527,0.0624863063814223,0.1239620805637127,14.444276782653318,0.3340712812976708,69.64962061841263,3.636179312668365,15.322059957016409,0.2416583851997756,0.1459395617902577,21.498779831210943,0.5527290004550859,777.0126726494403,1.7484775557391052,5.121713542759634,13,13,1.0,1.0,10.675471461545753,10.115280700003268,34.5,0.37762610974610966,14.064945000000002,428.9601404924242,12
samples/6 node/6_nodes_s00020/no_caption/non_adapted.png,6,2,non_adapted,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,0.0452806826814699,0.143991510209561,18.61094678285963,0.2517414632224583,252.929018430606,3.799321109716658,14.622433013935726,6.0,190.7047856648763,23.429584908073675,267.4885994562524,3.5779405550936487,53.49771989125048,682.3303866808028,0.00050798813329,761.8606,3.1394000000000233,13.0,0.01706349,0.0462177336714851,0.0894088927392186,14.56949470250206,0.3579119373163828,67.3642028998152,4.6805088232600935,29.55945836319342,0.3533771357621213,0.2726584999370996,21.286216210167023,0.4996523891118021,632.9946305667634,0.6263676821326292,-0.7742632830812863,13,13,0.7692307692307693,0.23076923076923078,12.820591489999515,12.2596955500087,35.0,0.4210806451612902,14.651369999999998,387.4017678947369,11
samples/6 node/6_nodes_s00023/no_caption/non_adapted.png,6,2,non_adapted,Count the number of MALWARE nodes with high connection counts (node size 7-10),0.0268979804398056,0.1053625461695799,18.118815008312147,0.2349963532238489,225.29701984834728,5.097294811657792,29.104853491961507,6.0,205.483876546224,24.489523827535844,139.89142690821103,1.234027606097797,27.978285381642205,253.57277626603204,0.0002181140378243,761.8122,3.1878000000000384,13.0,0.01706457,0.0505314331935841,0.1017679786189943,14.434440511452271,0.35286827443829,64.75900770724725,4.070501944083566,21.271217288146097,0.2196165244956322,0.2068464684948179,21.1446219140902,0.4511112894317491,609.4805848475231,1.2512436244423686,1.0273189094800248,13,13,0.8461538461538461,0.7692307692307693,10.833888745448636,10.23614760000008,33.5,0.44496077205882345,15.09145,485.18412679450756,12
samples/6 node/6_nodes_s00026/no_caption/non_adapted.png,6,2,non_adapted,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,0.0202652389204163,0.087998596321526,17.940451895305564,0.1522775861901716,213.376722443015,6.323324932386521,47.30003857118521,5.0,174.97481384277344,32.1360343531286,144.9605378092905,1.267798739915057,36.24013445232263,221.83284850673985,0.0002899177393663,762.2653,2.7346999999999753,13.0,0.01705443,0.0609251297383944,0.1091834714710894,14.525623655836084,0.3328319137443782,68.80812721254671,3.2391319960740037,14.124574809125011,0.3506854121614528,0.2141801642821819,21.468452568942197,0.530819546871032,726.3666406816521,1.0170955636448404,0.7886548953337198,13,13,0.9230769230769231,0.8461538461538461,10.086327375009878,9.711185349995501,36.0,0.3596637994186046,14.193110000000003,375.2284941372843,12
samples/6 node/6_nodes_s00065/no_caption/fully_adapted.png,6,1,fully_adapted,How many CYBER OBSERVABLE nodes are in the graph?,0.0256057878969433,0.1027498797963272,18.120677427080448,0.2424077421973706,260.58146050575573,5.440759230198853,33.057962601812136,3.0,205.98917643229169,28.23493475729814,138.94431597840182,1.0025386529572484,69.47215798920091,206.51211146420263,0.0006066681319997,760.2033,4.796699999999987,13.0,0.01710069,0.0547266136353342,0.1051384335043228,14.427264840474267,0.3881568914083099,66.80634814376539,3.651309548577309,17.88595415842271,0.2828039001649258,0.2220768675911727,21.277628874330272,0.5100688257479686,658.4045866071652,0.7221500811342064,-0.5107775948510973,13,13,1.0,1.0,5.014160723067037,4.774466699978802,40.0,0.308496,12.841779999999998,444.3524495,11
samples/6 node/6_nodes_s00068/no_caption/fully_adapted.png,6,1,fully_adapted,How many nodes have TLP:GREEN?,0.0378996645763441,0.1370192250355058,18.340692818274285,0.2604803890370812,281.7305260301748,4.567101769311684,21.798779598991093,3.0,203.15484619140625,31.41099145080312,158.77133290554147,1.0103190177937194,79.38566645277074,205.25120466413568,0.0008228389184826,759.8104,5.189600000000041,13.0,0.01710953,0.0602074773973802,0.1066557562538652,14.59103575281473,0.3399962521876919,62.90782033567331,3.558155444978348,17.430572317529627,0.1890116798526325,0.119221152857115,21.44137673656316,0.4916117810177236,692.1830072490764,1.212833297749287,4.647650312484068,13,13,1.0,0.9230769230769231,6.840482776923183,5.525396600016393,41.0,0.33241576068376066,13.665840000000001,448.4172140603086,12
