kind,source,feature,outcome,n,spearman_r,p_raw,p_fdr_outcome,sig_raw_0.05,sig_fdr_outcome
stimulus_residual,clipgaze,saliency_mean,rt_median,48,0.13938341293964393,0.34473818393817524,0.4787250556329861,False,False
stimulus_residual,clipgaze,saliency_mean,accuracy,48,-0.29185786906929106,0.04413480465374952,0.16182761706374824,True,False
stimulus_residual,clipgaze,saliency_mean,response_rate,48,-0.2772646940929881,0.05640372586503956,0.2956320164686255,False,False
stimulus_residual,clipgaze,saliency_mean,et_n_fixations,48,-0.009609381648914101,0.9483155030872673,0.9865593889981588,False,False
stimulus_residual,clipgaze,saliency_mean,et_mean_fix_dur,48,-0.057642205818497605,0.6971623553048738,0.9728211643817865,False,False
stimulus_residual,clipgaze,saliency_mean,et_mean_saccade_mag,48,0.08293530178028659,0.5751974558270104,0.7908965017621393,False,False
stimulus_residual,clipgaze,saliency_std,rt_median,48,0.08912288319583152,0.5469172225430727,0.6445810122829071,False,False
stimulus_residual,clipgaze,saliency_std,accuracy,48,-0.19824615441339197,0.1767802614813488,0.4487498945295777,False,False
stimulus_residual,clipgaze,saliency_std,response_rate,48,-0.24426475893329322,0.09429617085645359,0.3111773638262968,False,False
stimulus_residual,clipgaze,saliency_std,et_n_fixations,48,-0.038328946012052854,0.7959084738510332,0.9380349870387177,False,False
stimulus_residual,clipgaze,saliency_std,et_mean_fix_dur,48,-0.0716456795484151,0.6284467749760699,0.9728211643817865,False,False
stimulus_residual,clipgaze,saliency_std,et_mean_saccade_mag,48,0.02833260963960052,0.8484017215758938,0.903137316516274,False,False
stimulus_residual,clipgaze,saliency_entropy,rt_median,48,0.13840642640034737,0.3481636768239899,0.4787250556329861,False,False
stimulus_residual,clipgaze,saliency_entropy,accuracy,48,-0.3222110874524974,0.025520191251461044,0.11226863488580581,True,False
stimulus_residual,clipgaze,saliency_entropy,response_rate,48,-0.2688923876439057,0.06459755425271944,0.2956320164686255,False,False
stimulus_residual,clipgaze,saliency_entropy,et_n_fixations,48,-0.0024973534228816307,0.9865593889981589,0.9865593889981588,False,False
stimulus_residual,clipgaze,saliency_entropy,et_mean_fix_dur,48,-0.004667824576639166,0.9748809040737337,0.9748809040737337,False,False
stimulus_residual,clipgaze,saliency_entropy,et_mean_saccade_mag,48,0.21102909248805907,0.1499283490918936,0.3451965543454286,False,False
stimulus_residual,clipgaze,saliency_center_bias,rt_median,48,0.10985670864090316,0.4572994218630655,0.5804184969800447,False,False
stimulus_residual,clipgaze,saliency_center_bias,accuracy,48,-0.23663564528445963,0.10537498872794822,0.32209013590543756,False,False
stimulus_residual,clipgaze,saliency_center_bias,response_rate,48,-0.1665219133346711,0.2579682205888179,0.608067948530785,False,False
stimulus_residual,clipgaze,saliency_center_bias,et_n_fixations,48,-0.1099921311903953,0.45674159903586986,0.852516942198116,False,False
stimulus_residual,clipgaze,saliency_center_bias,et_mean_fix_dur,48,0.056990881458966566,0.7004230938991608,0.9728211643817865,False,False
stimulus_residual,clipgaze,saliency_center_bias,et_mean_saccade_mag,48,0.2962440295267043,0.04090603234194498,0.14998878525379827,True,False
stimulus_residual,clipgaze,saliency_spread,rt_median,48,0.19789405123751627,0.1775659291242482,0.4787250556329861,False,False
stimulus_residual,clipgaze,saliency_spread,accuracy,48,-0.31960472880778557,0.026804421159290385,0.11226863488580581,True,False
stimulus_residual,clipgaze,saliency_spread,response_rate,48,-0.27367656275766705,0.0598065259769773,0.2956320164686255,False,False
stimulus_residual,clipgaze,saliency_spread,et_n_fixations,48,-0.17079725800838283,0.24577255063457937,0.8186140331001356,False,False
stimulus_residual,clipgaze,saliency_spread,et_mean_fix_dur,48,0.08445505861919235,0.5681898744186954,0.9728211643817865,False,False
stimulus_residual,clipgaze,saliency_spread,et_mean_saccade_mag,48,0.2802865827181937,0.05366037307103811,0.16098111921311434,False,False
stimulus_residual,clipgaze,saliency_skewness,rt_median,48,-0.20093356491532785,0.17086606948181118,0.4787250556329861,False,False
stimulus_residual,clipgaze,saliency_skewness,accuracy,48,0.326446420250154,0.0235432368115787,0.11226863488580581,True,False
stimulus_residual,clipgaze,saliency_skewness,response_rate,48,0.2649236969245355,0.06880011672767511,0.2956320164686255,False,False
stimulus_residual,clipgaze,saliency_skewness,et_n_fixations,48,-0.06476831811951707,0.661850684502222,0.9242561737689072,False,False
stimulus_residual,clipgaze,saliency_skewness,et_mean_fix_dur,48,0.03028658271819366,0.8380821139529332,0.9748809040737337,False,False
stimulus_residual,clipgaze,saliency_skewness,et_mean_saccade_mag,48,-0.07240555796786799,0.6247991688702523,0.8247349029087332,False,False
stimulus_residual,clipgaze,saliency_kurtosis,rt_median,48,-0.19496309161962655,0.18420368618443617,0.4787250556329861,False,False
stimulus_residual,clipgaze,saliency_kurtosis,accuracy,48,0.3187902417313131,0.02721663876019535,0.11226863488580581,True,False
stimulus_residual,clipgaze,saliency_kurtosis,response_rate,48,0.2547029591814999,0.08062691358235241,0.2956320164686255,False,False
stimulus_residual,clipgaze,saliency_kurtosis,et_n_fixations,48,-0.08626727367301981,0.5598857677900396,0.852516942198116,False,False
stimulus_residual,clipgaze,saliency_kurtosis,et_mean_fix_dur,48,0.0694745983499783,0.6389167089444587,0.9728211643817865,False,False
stimulus_residual,clipgaze,saliency_kurtosis,et_mean_saccade_mag,48,-0.02833260963960052,0.8484017215758938,0.903137316516274,False,False
stimulus_residual,clipgaze,fixation_count,rt_median,48,0.045134844609045356,0.7606587283682915,0.8097334850372135,False,False
stimulus_residual,clipgaze,fixation_count,accuracy,48,-0.18536731829501832,0.20717382560891845,0.48833830322102206,False,False
stimulus_residual,clipgaze,fixation_count,response_rate,48,-0.06843840655651112,0.6439384976239259,0.8118188482572738,False,False
stimulus_residual,clipgaze,fixation_count,et_n_fixations,48,0.28983541608463775,0.04569210878265954,0.37695989745694125,True,False
stimulus_residual,clipgaze,fixation_count,et_mean_fix_dur,48,-0.07441003262863073,0.6152199197098627,0.9728211643817865,False,False
stimulus_residual,clipgaze,fixation_count,et_mean_saccade_mag,48,-0.1330147225602311,0.3674420780521608,0.6005490917619819,False,False
stimulus_residual,clipgaze,fixation_duration_mean,rt_median,48,-0.15013026487190623,0.30843928264245823,0.4787250556329861,False,False
stimulus_residual,clipgaze,fixation_duration_mean,accuracy,48,0.07026308513035584,0.6351060770010664,0.8060961746551996,False,False
stimulus_residual,clipgaze,fixation_duration_mean,response_rate,48,0.10155498991484348,0.4921923699907095,0.8118188482572738,False,False
stimulus_residual,clipgaze,fixation_duration_mean,et_n_fixations,48,-0.3549499278000022,0.013303593570762873,0.36292135598192055,True,False
stimulus_residual,clipgaze,fixation_duration_mean,et_mean_fix_dur,48,0.16000868432479373,0.2773157092281708,0.9728211643817865,False,False
stimulus_residual,clipgaze,fixation_duration_mean,et_mean_saccade_mag,48,0.34096830221450286,0.017712158350559986,0.07306265319605994,True,False
stimulus_residual,clipgaze,fixation_duration_std,rt_median,48,-0.15468953538862354,0.2938075068360882,0.4787250556329861,False,False
stimulus_residual,clipgaze,fixation_duration_std,accuracy,48,0.32481744609720914,0.024287834127117238,0.11226863488580581,True,False
stimulus_residual,clipgaze,fixation_duration_std,response_rate,48,0.15684483185456286,0.2870500542585463,0.6315101193688019,False,False
stimulus_residual,clipgaze,fixation_duration_std,et_n_fixations,48,-0.13632292271425597,0.3555384029115659,0.852516942198116,False,False
stimulus_residual,clipgaze,fixation_duration_std,et_mean_fix_dur,48,0.03028658271819366,0.8380821139529332,0.9748809040737337,False,False
stimulus_residual,clipgaze,fixation_duration_std,et_mean_saccade_mag,48,0.014763352149370385,0.9206676917512703,0.9494385571184975,False,False
stimulus_residual,clipgaze,scanpath_length,rt_median,48,0.236322188449848,0.10585066032531858,0.4787250556329861,False,False
stimulus_residual,clipgaze,scanpath_length,accuracy,48,-0.45149733605788933,0.0012771173556904887,0.014048290912595374,True,True
stimulus_residual,clipgaze,scanpath_length,response_rate,48,-0.385071731031497,0.006879515402611021,0.07567466942872124,True,False
stimulus_residual,clipgaze,scanpath_length,et_n_fixations,48,-0.0026602242982869547,0.9856829156035176,0.9865593889981588,False,False
stimulus_residual,clipgaze,scanpath_length,et_mean_fix_dur,48,0.012049500651324358,0.9352163091585949,0.9748809040737337,False,False
stimulus_residual,clipgaze,scanpath_length,et_mean_saccade_mag,48,0.05340859748154581,0.7184513158984878,0.8781071638759295,False,False
stimulus_residual,clipgaze,scanpath_complexity,rt_median,48,0.16684759009986974,0.2570251843713692,0.4787250556329861,False,False
stimulus_residual,clipgaze,scanpath_complexity,accuracy,48,-0.45730734387005934,0.001084041849977183,0.014048290912595374,True,True
stimulus_residual,clipgaze,scanpath_complexity,response_rate,48,-0.3982282125943407,0.005058928255453953,0.07567466942872124,True,False
stimulus_residual,clipgaze,scanpath_complexity,et_n_fixations,48,0.1525014296711848,0.3007724992974973,0.8271243730681176,False,False
stimulus_residual,clipgaze,scanpath_complexity,et_mean_fix_dur,48,-0.06534954407294832,0.6590011303638345,0.9728211643817865,False,False
stimulus_residual,clipgaze,scanpath_complexity,et_mean_saccade_mag,48,-0.08510638297872342,0.5651987632796178,0.7908965017621393,False,False
stimulus_residual,clipgaze,mean_saccade_mag,rt_median,48,0.1442683456361268,0.32792417461243867,0.4787250556329861,False,False
stimulus_residual,clipgaze,mean_saccade_mag,accuracy,48,-0.08997367238098888,0.543081428759372,0.7467369645441365,False,False
stimulus_residual,clipgaze,mean_saccade_mag,response_rate,48,-0.17353507912643493,0.23817143304360813,0.608067948530785,False,False
stimulus_residual,clipgaze,mean_saccade_mag,et_n_fixations,48,-0.3082059865586743,0.03307180231872377,0.36378982550596145,True,False
stimulus_residual,clipgaze,mean_saccade_mag,et_mean_fix_dur,48,0.09031697785497177,0.5415373091429985,0.9728211643817865,False,False
stimulus_residual,clipgaze,mean_saccade_mag,et_mean_saccade_mag,48,0.15013026487190623,0.30843928264245823,0.5357103330105853,False,False
stimulus_residual,clipgaze,cognitive_load,rt_median,48,0.18844984802431614,0.19958601547425747,0.4787250556329861,False,False
stimulus_residual,clipgaze,cognitive_load,accuracy,48,-0.4643662318661539,0.0008848379386004222,0.014048290912595374,True,True
stimulus_residual,clipgaze,cognitive_load,response_rate,48,-0.39855440635209716,0.005019738081091538,0.07567466942872124,True,False
stimulus_residual,clipgaze,cognitive_load,et_n_fixations,48,0.12361899443264072,0.4025368167993832,0.852516942198116,False,False
stimulus_residual,clipgaze,cognitive_load,et_mean_fix_dur,48,-0.0589448545375597,0.6906571303676233,0.9728211643817865,False,False
stimulus_residual,clipgaze,cognitive_load,et_mean_saccade_mag,48,-0.03571428571428571,0.8095626232906454,0.903137316516274,False,False
stimulus_residual,clipgaze,info_processing_idx,rt_median,48,0.16272253582283974,0.2691412029719363,0.4787250556329861,False,False
stimulus_residual,clipgaze,info_processing_idx,accuracy,48,-0.15502404022192112,0.29275203432535146,0.6038010707960374,False,False
stimulus_residual,clipgaze,info_processing_idx,response_rate,48,-0.19500950151206828,0.18409721654257039,0.5522916496277112,False,False
stimulus_residual,clipgaze,info_processing_idx,et_n_fixations,48,-0.32997639357118597,0.021995233695873972,0.36292135598192055,True,False
stimulus_residual,clipgaze,info_processing_idx,et_mean_fix_dur,48,0.1286365610073817,0.38355976254426727,0.9728211643817865,False,False
stimulus_residual,clipgaze,info_processing_idx,et_mean_saccade_mag,48,0.18627876682587927,0.20490948066246714,0.3977654624624362,False,False
stimulus_residual,low_level,digital_ink,rt_median,48,0.2026704298740773,0.1671207819882555,0.4787250556329861,False,False
stimulus_residual,low_level,digital_ink,accuracy,48,-0.05663400138405034,0.7022120210637418,0.8276070248251243,False,False
stimulus_residual,low_level,digital_ink,response_rate,48,0.037784110273456226,0.798748853922661,0.8118188482572738,False,False
stimulus_residual,low_level,digital_ink,et_n_fixations,48,0.16998290363135624,0.24806485851519258,0.8186140331001356,False,False
stimulus_residual,low_level,digital_ink,et_mean_fix_dur,48,0.09400781589231437,0.5250717922046038,0.9728211643817865,False,False
stimulus_residual,low_level,digital_ink,et_mean_saccade_mag,48,-0.3858011289622231,0.006765411186667908,0.03189408130857728,True,True
stimulus_residual,low_level,mark_density,rt_median,48,-0.2026704298740773,0.1671207819882555,0.4787250556329861,False,False
stimulus_residual,low_level,mark_density,accuracy,48,0.05663400138405034,0.7022120210637418,0.8276070248251243,False,False
stimulus_residual,low_level,mark_density,response_rate,48,-0.037784110273456226,0.798748853922661,0.8118188482572738,False,False
stimulus_residual,low_level,mark_density,et_n_fixations,48,-0.16998290363135624,0.24806485851519258,0.8186140331001356,False,False
stimulus_residual,low_level,mark_density,et_mean_fix_dur,48,-0.09400781589231437,0.5250717922046038,0.9728211643817865,False,False
stimulus_residual,low_level,mark_density,et_mean_saccade_mag,48,0.3858011289622231,0.006765411186667908,0.03189408130857728,True,True
stimulus_residual,low_level,data_utility,rt_median,48,0.09171803011274078,0.5352577171501355,0.6445810122829071,False,False
stimulus_residual,low_level,data_utility,accuracy,48,-0.004678745063121456,0.974822156195727,0.9748221561957269,False,False
stimulus_residual,low_level,data_utility,response_rate,48,-0.043982006479539315,0.7665980575940964,0.8118188482572738,False,False
stimulus_residual,low_level,data_utility,et_n_fixations,48,0.046000164038031525,0.756209596720015,0.9242561737689072,False,False
stimulus_residual,low_level,data_utility,et_mean_fix_dur,48,0.006755435645697621,0.9636531395820361,0.9748809040737337,False,False
stimulus_residual,low_level,data_utility,et_mean_saccade_mag,48,-0.06235786749874728,0.673718544574523,0.8551043065753561,False,False
stimulus_residual,low_level,effectiveness,rt_median,48,-0.25412505427702997,0.08134053153505795,0.4787250556329861,False,False
stimulus_residual,low_level,effectiveness,accuracy,48,0.1280916675598991,0.3855945847685306,0.6877198345604726,False,False
stimulus_residual,low_level,effectiveness,response_rate,48,0.04903779491605398,0.7406539423691864,0.8118188482572738,False,False
stimulus_residual,low_level,effectiveness,et_n_fixations,48,-0.08833030476148725,0.5505021996953654,0.852516942198116,False,False
stimulus_residual,low_level,effectiveness,et_mean_fix_dur,48,-0.13330438558402083,0.36639031718489173,0.9728211643817865,False,False
stimulus_residual,low_level,effectiveness,et_mean_saccade_mag,48,0.41869300911854107,0.0030593056453485593,0.020191417259300494,True,True
stimulus_residual,sum,saliency_mean,rt_median,48,-0.17346938775510204,0.23835191363360672,0.4787250556329861,False,False
stimulus_residual,sum,saliency_mean,accuracy,48,-0.11180192603045028,0.44932241707355913,0.6877198345604726,False,False
stimulus_residual,sum,saliency_mean,response_rate,48,-0.049690182431566886,0.7373261715855457,0.8118188482572738,False,False
stimulus_residual,sum,saliency_mean,et_n_fixations,48,-0.007166318517834245,0.9614440475529442,0.9865593889981588,False,False
stimulus_residual,sum,saliency_mean,et_mean_fix_dur,48,0.022796352583586622,0.8777717971617914,0.9748809040737337,False,False
stimulus_residual,sum,saliency_mean,et_mean_saccade_mag,48,-0.43519322622666085,0.0019928138504650894,0.01930099678933771,True,True
stimulus_residual,sum,saliency_std,rt_median,48,-0.16956144159791572,0.24925688509301694,0.4787250556329861,False,False
stimulus_residual,sum,saliency_std,accuracy,48,-0.142969631490129,0.3323433047412696,0.6451370033212881,False,False
stimulus_residual,sum,saliency_std,response_rate,48,-0.046156416722538604,0.7554070346753547,0.8118188482572738,False,False
stimulus_residual,sum,saliency_std,et_n_fixations,48,-0.030131111949984888,0.8389022472397666,0.9546129020314585,False,False
stimulus_residual,sum,saliency_std,et_mean_fix_dur,48,0.06676074685193227,0.6521024362614473,0.9728211643817865,False,False
stimulus_residual,sum,saliency_std,et_mean_saccade_mag,48,-0.43237082066869303,0.00214766547996468,0.01930099678933771,True,True
stimulus_residual,sum,saliency_entropy,rt_median,48,-0.0779418150238819,0.5984958748426498,0.6810470299933601,False,False
stimulus_residual,sum,saliency_entropy,accuracy,48,0.03752070465616374,0.8001229870703273,0.88013528577736,False,False
stimulus_residual,sum,saliency_entropy,response_rate,48,0.0605089420638227,0.6828754460975963,0.8118188482572738,False,False
stimulus_residual,sum,saliency_entropy,et_n_fixations,48,0.1819810581195484,0.215740043796407,0.8186140331001356,False,False
stimulus_residual,sum,saliency_entropy,et_mean_fix_dur,48,-0.2283977420755536,0.11843110430948679,0.9728211643817865,False,False
stimulus_residual,sum,saliency_entropy,et_mean_saccade_mag,48,0.0383195831524099,0.7959572630773142,0.903137316516274,False,False
stimulus_residual,sum,saliency_center_bias,rt_median,48,-0.1265740338688667,0.3912954744754936,0.5165100263076515,False,False
stimulus_residual,sum,saliency_center_bias,accuracy,48,0.05131268581776373,0.729070663946358,0.8296321348355109,False,False
stimulus_residual,sum,saliency_center_bias,response_rate,48,-0.040665488466971586,0.7837574866796138,0.8118188482572738,False,False
stimulus_residual,sum,saliency_center_bias,et_n_fixations,48,0.15896197439559595,0.28051178842930247,0.8271243730681176,False,False
stimulus_residual,sum,saliency_center_bias,et_mean_fix_dur,48,-0.05557967867998263,0.707506301368572,0.9728211643817865,False,False
stimulus_residual,sum,saliency_center_bias,et_mean_saccade_mag,48,-0.0003256621797655232,0.9982472262734214,0.9982472262734214,False,False
stimulus_residual,sum,saliency_spread,rt_median,48,-0.2127659574468085,0.14652586307139526,0.4787250556329861,False,False
stimulus_residual,sum,saliency_spread,accuracy,48,0.02834415026124092,0.8483406959655613,0.903072353769791,False,False
stimulus_residual,sum,saliency_spread,response_rate,48,0.1434165221602554,0.33081849276156405,0.6497557414234318,False,False
stimulus_residual,sum,saliency_spread,et_n_fixations,48,-0.13355411783236548,0.3654850032566712,0.852516942198116,False,False
stimulus_residual,sum,saliency_spread,et_mean_fix_dur,48,-0.0906426400347373,0.54007450712189,0.9728211643817865,False,False
stimulus_residual,sum,saliency_spread,et_mean_saccade_mag,48,0.1282023447676943,0.38518076222718434,0.6005490917619819,False,False
stimulus_residual,sum,saliency_skewness,rt_median,48,0.1674989144594008,0.25514614418385995,0.4787250556329861,False,False
stimulus_residual,sum,saliency_skewness,accuracy,48,0.08074281884763457,0.5853759770457893,0.7726962897004418,False,False
stimulus_residual,sum,saliency_skewness,response_rate,48,0.08046112691325928,0.5866895625646745,0.8118188482572738,False,False
stimulus_residual,sum,saliency_skewness,et_n_fixations,48,0.09327072131544874,0.5283401959698791,0.852516942198116,False,False
