modality,signal,condition_factor,condition_level,participant_id,loo_r,loo_fisher_z,pipeline
eeg,gfp_isc,adaptation,non_adapted,sphynx_12,0.45097834585297836,0.4859277227740208,ica_faster
eeg,gfp_isc,adaptation,non_adapted,sphynx_13,0.43480843699619504,0.46581095132693096,ica_faster
eeg,gfp_isc,adaptation,non_adapted,sphynx_3,0.398815058857816,0.42223908056057424,ica_faster
eeg,gfp_isc,adaptation,non_adapted,trial_1_3,0.5465939584605882,0.6135111414404671,ica_faster
eeg,gfp_isc,adaptation,non_adapted,sphynx_6,0.20757239790750515,0.2106330964183444,ica_faster
eeg,gfp_isc,adaptation,non_adapted,sphynx_5_1,0.5150051414654346,0.5695179108613174,ica_faster
eeg,gfp_isc,adaptation,non_adapted,sphynx_7,0.07412466671971887,0.07426087452836318,ica_faster
eeg,gfp_isc,adaptation,non_adapted,sphynx_10,0.1578931608195539,0.1592252492410973,ica_faster
eeg,gfp_isc,adaptation,non_adapted,sphynx_4,0.41362315045565434,0.4399743134882895,ica_faster
eeg,gfp_isc,adaptation,non_adapted,sphynx_11,0.44766227460471497,0.48177281470638395,ica_faster
eeg,gfp_isc,adaptation,non_adapted,sphynx_8,0.318896315664635,0.3304179968572358,ica_faster
eeg,gfp_isc,adaptation,non_adapted,sphynx_9,0.7033461219637697,0.873891918558901,ica_faster
eeg,gfp_isc,adaptation,non_adapted,sphynx_2,0.5006819827290433,0.5502158685010737,ica_faster
eeg,gfp_isc,adaptation,semi_adapted,sphynx_12,0.3331593098681331,0.34637782665442063,ica_faster
eeg,gfp_isc,adaptation,semi_adapted,sphynx_13,0.21885240851185042,0.22245046835775917,ica_faster
eeg,gfp_isc,adaptation,semi_adapted,sphynx_3,0.23628456521345367,0.24083529502372503,ica_faster
eeg,gfp_isc,adaptation,semi_adapted,trial_1_3,0.23968148493498842,0.24443615718121284,ica_faster
eeg,gfp_isc,adaptation,semi_adapted,sphynx_6,-0.16652407246282724,-0.1680894535707843,ica_faster
eeg,gfp_isc,adaptation,semi_adapted,sphynx_5_1,0.18799481010145605,0.19025769983482882,ica_faster
eeg,gfp_isc,adaptation,semi_adapted,sphynx_7,0.2176425577803905,0.22118010766572005,ica_faster
eeg,gfp_isc,adaptation,semi_adapted,sphynx_10,-0.057106501265227066,-0.057168700685275714,ica_faster
eeg,gfp_isc,adaptation,semi_adapted,sphynx_4,0.05913751064937708,0.05920659512838209,ica_faster
eeg,gfp_isc,adaptation,semi_adapted,sphynx_11,0.038399836987452404,0.038418727831167884,ica_faster
eeg,gfp_isc,adaptation,semi_adapted,sphynx_8,-0.05608012999831181,-0.0561390314988631,ica_faster
eeg,gfp_isc,adaptation,semi_adapted,sphynx_9,0.0930073592895396,0.09327694253117708,ica_faster
eeg,gfp_isc,adaptation,semi_adapted,sphynx_2,0.07147195036104581,0.07159402334469457,ica_faster
eeg,gfp_isc,adaptation,fully_adapted,sphynx_12,0.303412162454459,0.31327347357192,ica_faster
eeg,gfp_isc,adaptation,fully_adapted,sphynx_13,0.09232969646734782,0.09259340987527337,ica_faster
eeg,gfp_isc,adaptation,fully_adapted,sphynx_3,0.3258355428711309,0.3381620276231948,ica_faster
eeg,gfp_isc,adaptation,fully_adapted,trial_1_3,0.10285566772947584,0.10322070087772854,ica_faster
eeg,gfp_isc,adaptation,fully_adapted,sphynx_6,0.03016176589595701,0.0301709172674181,ica_faster
eeg,gfp_isc,adaptation,fully_adapted,sphynx_5_1,0.2890751641118402,0.2975568025155228,ica_faster
eeg,gfp_isc,adaptation,fully_adapted,sphynx_7,0.12195429184828889,0.1225643477356579,ica_faster
eeg,gfp_isc,adaptation,fully_adapted,sphynx_10,0.05412158895540138,0.05417452537402657,ica_faster
eeg,gfp_isc,adaptation,fully_adapted,sphynx_4,0.30102067262958365,0.31064160048349826,ica_faster
eeg,gfp_isc,adaptation,fully_adapted,sphynx_11,0.5588308202451365,0.6311314578014467,ica_faster
eeg,gfp_isc,adaptation,fully_adapted,sphynx_8,0.11234758901643528,0.11282388436353069,ica_faster
eeg,gfp_isc,adaptation,fully_adapted,sphynx_9,0.1409369286833609,0.14188136385034208,ica_faster
eeg,gfp_isc,adaptation,fully_adapted,sphynx_2,0.4160662189871876,0.44292522512956556,ica_faster
eeg,gfp_isc,graph_nodes,6,sphynx_12,0.4661756036281138,0.5051728601669003,ica_faster
eeg,gfp_isc,graph_nodes,6,sphynx_13,0.3256308893180108,0.337933082504603,ica_faster
eeg,gfp_isc,graph_nodes,6,sphynx_3,0.2864126130401759,0.2946538987022884,ica_faster
eeg,gfp_isc,graph_nodes,6,trial_1_3,0.16404114481804924,0.16553678993224327,ica_faster
eeg,gfp_isc,graph_nodes,6,sphynx_6,0.04862079434289414,0.04865916166582675,ica_faster
eeg,gfp_isc,graph_nodes,6,sphynx_5_1,0.2991826372616647,0.30862164511461326,ica_faster
eeg,gfp_isc,graph_nodes,6,sphynx_7,0.13553029906092645,0.1363693941043058,ica_faster
eeg,gfp_isc,graph_nodes,6,sphynx_10,0.020000479142761467,0.02000314664134944,ica_faster
eeg,gfp_isc,graph_nodes,6,sphynx_4,0.28890419924326405,0.29737025840849063,ica_faster
eeg,gfp_isc,graph_nodes,6,sphynx_11,0.3874813528601522,0.40883300994239535,ica_faster
eeg,gfp_isc,graph_nodes,6,sphynx_8,0.05339672116866428,0.05344755658129032,ica_faster
eeg,gfp_isc,graph_nodes,6,sphynx_9,0.2888436055806503,0.29730414795176313,ica_faster
eeg,gfp_isc,graph_nodes,6,sphynx_2,0.4304324148134615,0.46042730753808603,ica_faster
eeg,gfp_isc,graph_nodes,12,sphynx_12,0.5679735713023757,0.6445262909089586,ica_faster
eeg,gfp_isc,graph_nodes,12,sphynx_13,0.45417821425781363,0.48995184806130215,ica_faster
eeg,gfp_isc,graph_nodes,12,sphynx_3,0.39604813378700116,0.4189531297295446,ica_faster
eeg,gfp_isc,graph_nodes,12,trial_1_3,0.48434864631551955,0.5286502335227251,ica_faster
eeg,gfp_isc,graph_nodes,12,sphynx_6,0.01760132751214605,0.017603145520004505,ica_faster
eeg,gfp_isc,graph_nodes,12,sphynx_5_1,0.551401999182032,0.6203935755510378,ica_faster
eeg,gfp_isc,graph_nodes,12,sphynx_7,0.32917426001014977,0.34190188498910795,ica_faster
eeg,gfp_isc,graph_nodes,12,sphynx_10,0.13750641674167524,0.13838304136171506,ica_faster
eeg,gfp_isc,graph_nodes,12,sphynx_4,0.4316164000085701,0.46188144583749596,ica_faster
eeg,gfp_isc,graph_nodes,12,sphynx_11,0.4009777698793114,0.4248134847029508,ica_faster
eeg,gfp_isc,graph_nodes,12,sphynx_8,0.3209753673823376,0.3327341263564291,ica_faster
eeg,gfp_isc,graph_nodes,12,sphynx_9,0.4922541507579084,0.5390310414836876,ica_faster
eeg,gfp_isc,graph_nodes,12,sphynx_2,0.4522647328103858,0.48754371024263166,ica_faster
eeg,gfp_isc,question_level,2,sphynx_12,0.5486010728519143,0.6163778905405818,ica_faster
eeg,gfp_isc,question_level,2,sphynx_13,0.5290125626109964,0.588773000335864,ica_faster
eeg,gfp_isc,question_level,2,sphynx_3,0.4457053008831483,0.4793280428925791,ica_faster
eeg,gfp_isc,question_level,2,trial_1_3,0.6288104195926493,0.7394461464693081,ica_faster
eeg,gfp_isc,question_level,2,sphynx_6,0.20941077558238466,0.21255501825695258,ica_faster
eeg,gfp_isc,question_level,2,sphynx_5_1,0.6529791124723517,0.7804747444344493,ica_faster
eeg,gfp_isc,question_level,2,sphynx_7,0.4820978706109417,0.5257137791096189,ica_faster
eeg,gfp_isc,question_level,2,sphynx_10,0.21002227048975722,0.21319464460725085,ica_faster
eeg,gfp_isc,question_level,2,sphynx_4,0.44037007621895774,0.4726898210229128,ica_faster
eeg,gfp_isc,question_level,2,sphynx_11,0.5412850246883886,0.6059713653597294,ica_faster
eeg,gfp_isc,question_level,2,sphynx_8,0.15254726083566592,0.1537473542804339,ica_faster
eeg,gfp_isc,question_level,2,sphynx_9,0.59915104183095,0.6918217375618155,ica_faster
eeg,gfp_isc,question_level,2,sphynx_2,0.3937953784761592,0.4162841024354067,ica_faster
eeg,gfp_isc,question_level,1,sphynx_12,0.39167863290457966,0.4137813202236247,ica_faster
eeg,gfp_isc,question_level,1,sphynx_13,0.27288374086780504,0.2799769432361218,ica_faster
eeg,gfp_isc,question_level,1,sphynx_3,0.5013705185982701,0.551135175650426,ica_faster
eeg,gfp_isc,question_level,1,trial_1_3,0.23254327623665627,0.23687646298507395,ica_faster
eeg,gfp_isc,question_level,1,sphynx_6,0.031575565351587294,0.03158606541827893,ica_faster
eeg,gfp_isc,question_level,1,sphynx_5_1,0.2570591039573219,0.26295686675384083,ica_faster
eeg,gfp_isc,question_level,1,sphynx_7,0.19239262353508768,0.19482057767214667,ica_faster
eeg,gfp_isc,question_level,1,sphynx_10,0.03906819456472099,0.03908808969315493,ica_faster
eeg,gfp_isc,question_level,1,sphynx_4,0.12193151480778797,0.12254122688647139,ica_faster
eeg,gfp_isc,question_level,1,sphynx_11,0.4891836661627129,0.5349866365617156,ica_faster
eeg,gfp_isc,question_level,1,sphynx_8,0.37557915762558597,0.3949027795182515,ica_faster
eeg,gfp_isc,question_level,1,sphynx_9,0.22162480287124306,0.22536419542179745,ica_faster
eeg,gfp_isc,question_level,1,sphynx_2,0.5833295691051315,0.6674948276076759,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q2,sphynx_12,0.3275120479838939,0.3400388163355817,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q2,sphynx_13,0.3970309058913011,0.42011927009640904,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q2,sphynx_3,0.3906581788277342,0.4125765155197681,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q2,trial_1_3,0.6368641107974813,0.752880224086354,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q2,sphynx_6,0.23618311857322766,0.2407278523939992,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q2,sphynx_5_1,0.44942849299506077,0.4839838862902781,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q2,sphynx_7,0.105109702891139,0.10549937497956607,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q2,sphynx_10,0.18014639790185497,0.18213399274506484,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q2,sphynx_4,0.1705686223700606,0.17225226646921377,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q2,sphynx_11,0.17877577052118476,0.18071775330826134,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q2,sphynx_8,0.12694537331209005,0.1276339572859686,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q2,sphynx_9,0.4695091236365384,0.5094404673923361,ica_faster
eeg,gfp_isc,adapt_x_q,non_adapted_q2,sphynx_2,0.31933718874394684,0.33090885692977595,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q2,sphynx_12,0.5140176133879127,0.5681748429512513,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q2,sphynx_13,0.24478185586391915,0.24985446861325034,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q2,sphynx_3,0.33389306946339503,0.34720342571267615,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q2,trial_1_3,0.37833561040083474,0.39811579513626083,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q2,sphynx_6,0.06865861993339659,0.06876681182652757,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q2,sphynx_5_1,0.5162543615793669,0.5712195543461966,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q2,sphynx_7,0.5407164618528109,0.6051675363384141,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q2,sphynx_10,0.07028007246852315,0.0703961277881874,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q2,sphynx_4,0.20465230219462466,0.20758344180928912,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q2,sphynx_11,0.4831916928582971,0.5271397837212034,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q2,sphynx_8,0.2020525360844313,0.20487153038733197,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q2,sphynx_9,0.45386007823943864,0.4895511056452356,ica_faster
eeg,gfp_isc,adapt_x_q,semi_adapted_q2,sphynx_2,0.11462944521038718,0.1151355145860698,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q1,sphynx_12,0.173455405665341,0.17522707099416904,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q1,sphynx_13,-0.02775570052687846,-0.027762831291992213,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q1,sphynx_3,0.2815692846525602,0.28938566916466824,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q1,trial_1_3,-0.029832904276627385,-0.029841759455709008,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q1,sphynx_6,-0.05822626503850715,-0.058292200677587065,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q1,sphynx_5_1,0.041155926657084854,0.041179187078388496,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q1,sphynx_7,0.18899161078782772,0.1912912213176777,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q1,sphynx_10,0.14158135648760498,0.14253891250054546,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q1,sphynx_4,0.1649719873543037,0.1664935240772312,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q1,sphynx_11,0.32232732868482983,0.3342421025978359,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q1,sphynx_8,0.28573018702610675,0.29391064729847977,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q1,sphynx_9,-0.07275538048656625,-0.07288416286773913,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q1,sphynx_2,0.23999057472793234,0.24476411133354184,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q2,sphynx_12,0.2199270574092212,0.2235794577388667,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q2,sphynx_13,0.24032875101096862,0.24512298633350812,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q2,sphynx_3,0.1877707478534894,0.19002543878493955,ica_faster
eeg,gfp_isc,adapt_x_q,fully_adapted_q2,trial_1_3,0.20221345881162578,0.20503930813603707,ica_faster
