test_type,signal,condition_factor,condition_level,n_subjects,isc_mean_r_observed,isc_mean_r_null,n_perm,p_perm_one_sided,sig_perm_0.05,p_fdr_global,p_fdr_factor,sig_fdr_factor,sig_fdr_global
isc_level_circular_shift,gfp_isc,adaptation,non_adapted,13,0.4109244614281241,0.0007844059999808199,5000,0.0001999600079984003,True,0.00027994401119776045,0.00029994001199760045,True,True
isc_level_circular_shift,gfp_isc,adaptation,semi_adapted,13,0.11082267435312411,-0.0007899337448092045,5000,0.03459308138372325,True,0.03459308138372325,0.03459308138372325,True,True
isc_level_circular_shift,gfp_isc,adaptation,fully_adapted,13,0.22611008379947173,0.00034506212494316333,5000,0.0021995600879824036,True,0.0023687570178272037,0.002639472105578884,True,True
isc_level_circular_shift,gfp_isc,graph_nodes,6,13,0.2510068713672529,-0.0022411669899385627,5000,0.0011997600479904018,True,0.0015269673338059661,0.0011997600479904018,True,True
isc_level_circular_shift,gfp_isc,graph_nodes,12,13,0.3960465948360524,-0.0015019283183603258,5000,0.0001999600079984003,True,0.00027994401119776045,0.0002666133439978671,True,True
isc_level_circular_shift,gfp_isc,question_level,2,13,0.461897991270552,0.0020743282833037956,5000,0.0001999600079984003,True,0.00027994401119776045,0.0002666133439978671,True,True
isc_level_circular_shift,gfp_isc,question_level,1,13,0.2952154508911889,0.0005232594252112504,5000,0.0013997200559888023,True,0.001633006731986936,0.0013997200559888023,True,True
isc_level_circular_shift,occ_isc,adaptation,non_adapted,13,0.1875129339619293,0.0002756348100285587,5000,0.0001999600079984003,True,0.00027994401119776045,0.00029994001199760045,True,True
isc_level_circular_shift,occ_isc,adaptation,semi_adapted,13,0.2514839436249111,-0.0008643313726559281,5000,0.0001999600079984003,True,0.00027994401119776045,0.00029994001199760045,True,True
isc_level_circular_shift,occ_isc,adaptation,fully_adapted,13,0.2172382872983768,0.0006887047198886583,5000,0.0001999600079984003,True,0.00027994401119776045,0.00029994001199760045,True,True
isc_level_circular_shift,occ_isc,graph_nodes,6,13,0.2554382478376402,0.0001771798416524637,5000,0.0001999600079984003,True,0.00027994401119776045,0.0002666133439978671,True,True
isc_level_circular_shift,occ_isc,graph_nodes,12,13,0.31113034143665885,-0.00034518262329852307,5000,0.0001999600079984003,True,0.00027994401119776045,0.0002666133439978671,True,True
isc_level_circular_shift,occ_isc,question_level,2,13,0.30219481861912534,-6.438337025867837e-05,5000,0.0001999600079984003,True,0.00027994401119776045,0.0002666133439978671,True,True
isc_level_circular_shift,occ_isc,question_level,1,13,0.28205776839995333,0.0003677881606430348,5000,0.0001999600079984003,True,0.00027994401119776045,0.0002666133439978671,True,True
